# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1023 1 8127 2 3940649674786290 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=28.html
DUPTYPE_WITHIN_SAME_TREE -1023 1 8127 2 74027918875226533 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=28.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1035 1 8164 2 77687093572403078 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=49.html
DUPTYPE_WITHIN_SAME_TREE -1035 1 8164 2 82190693199849499 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=49.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1011 1 8261 2 56857945295814022 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=132.html
DUPTYPE_WITHIN_SAME_TREE -1011 1 8261 2 153966812261051112 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=132.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1027 1 8266 2 6755399441892827 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=42.html
DUPTYPE_WITHIN_SAME_TREE -1027 1 8266 2 106116066220252387 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=42.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 792 0 8379 2 9007199255579443 1 ./index.html-lang=en_catid=15.html
DUPTYPE_WITHIN_SAME_TREE -792 0 8379 2 28991922601700140 1 ./index.html-lang=en_catid=15.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 965 1 8519 2 101612466592807100 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=77.html
DUPTYPE_WITHIN_SAME_TREE -965 1 8519 2 90916417477858309 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=77.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 839 1 8522 2 40813871623301832 1 ./cracky/index.html-accion=minor_arcana.html
DUPTYPE_WITHIN_SAME_TREE -839 1 8522 2 21392098230305880 1 ./cracky/index.html-accion=minor_arcana.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1051 1 8575 2 170292360910209009 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=71.html
DUPTYPE_WITHIN_SAME_TREE -1051 1 8575 2 51228445761677746 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=71.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1001 1 8675 2 58546795156075723 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=118.html
DUPTYPE_WITHIN_SAME_TREE -1001 1 8675 2 55732045389028587 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=118.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 993 1 8713 2 151715012447304055 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=112.html
DUPTYPE_WITHIN_SAME_TREE -993 1 8713 2 47287796087710143 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=112.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 210 0 8775 2 5629499535050650 1 ./index.html-catid=35_accion=a_colores.html
DUPTYPE_WITHIN_SAME_TREE -210 0 8775 2 75153818782086268 1 ./index.html-catid=35_accion=a_colores.html.clean.html
